# jonquera scenario; 30 hours of prediction; ignition from central polygon; single core execution; scenario.ini: landscapeFile=landscape/jonquera.lcp;ignitionFile=perimetres/jonquera_central_polygon_2.shp;perimeterResolution=30m;distanceResolution=30m;StartDate=2019-07-22 12:00:00;EndDate=2019-07-23 18:30:00;hoursOfSimulation=30
generation individual p0 p1  p2        p3        p4        p5        p6        p7        p8       p9      p10      p11      p12      p13      p14      p15   p16      p17      p18      p19      p20 runtime maxRSS outputs cpu csw exit error
0 65 6 13 2 26 70 17 60 49 72 1.170409 0 0 0 0 0 0 0 0 0 0 0 415.46 366364 39792 100% 43732 0 2.079399 
0 66 11 13 12 70 84 5 311 42 61 0.052134 0 0 0 0 0 0 0 0 0 0 0 20.73 71212 35952 99% 2553 0 1.059037 
0 67 12 6 12 55 98 4 353 43 82 0.047327 0 0 0 0 0 0 0 0 0 0 0 7.28 39980 35784 99% 1096 0 1.029633 
0 68 13 2 11 60 65 16 285 39 44 1.093664 0 0 0 0 0 0 0 0 0 0 0 1469.80 802552 40456 99% 144892 0 2.412632 
0 69 2 5 9 49 99 11 69 43 88 1.322659 0 0 0 0 0 0 0 0 0 0 0 44.32 102068 36840 99% 5574 0 1.272556 
0 70 3 12 7 27 73 13 120 43 75 0.360511 0 0 0 0 0 0 0 0 0 0 0 196.79 210408 38648 100% 20974 0 1.442578 
0 71 6 5 7 41 78 15 19 39 60 0.585897 0 0 0 0 0 0 0 0 0 0 0 449.25 432740 38144 100% 45289 0 2.512152 
0 72 7 2 6 61 84 14 93 50 54 0.782156 0 0 0 0 0 0 0 0 0 0 0 664.19 537948 38952 100% 66321 0 2.325397 
0 73 9 10 10 48 99 9 278 31 46 1.492235 0 0 0 0 0 0 0 0 0 0 0 171.58 230624 37056 100% 17666 0 1.301960 
0 74 5 4 9 42 63 9 127 44 59 1.368545 0 0 0 0 0 0 0 0 0 0 0 163.76 210448 37088 100% 17193 0 1.367652 
0 75 8 15 5 31 80 7 145 34 89 0.678855 0 0 0 0 0 0 0 0 0 0 0 10.72 48624 36024 99% 1517 0 1.040206 
0 76 3 8 10 34 71 21 175 39 44 1.597207 0 0 0 0 0 0 0 0 0 0 0 1142.58 850040 39504 100% 113020 0 2.601256 
0 77 12 8 8 62 68 13 349 34 95 1.895775 0 0 0 0 0 0 0 0 0 0 0 38.85 91952 36992 98% 5039 0 1.149696 
0 78 8 7 3 26 82 10 218 30 37 0.851592 0 0 0 0 0 0 0 0 0 0 0 293.30 346104 37536 100% 29979 0 1.484062 
0 79 2 10 5 31 77 14 185 44 94 0.351124 0 0 0 0 0 0 0 0 0 0 0 57.10 114692 37456 99% 6881 0 1.219571 
0 80 12 13 5 41 62 15 292 44 50 0.069283 0 0 0 0 0 0 0 0 0 0 0 876.48 545892 39320 100% 87041 0 1.981796 
0 81 2 15 3 38 71 24 43 36 89 0.667730 0 0 0 0 0 0 0 0 0 0 0 164.65 214172 37648 99% 17401 0 1.728022 
0 82 3 7 11 23 77 5 328 36 85 0.596846 0 0 0 0 0 0 0 0 0 0 0 8.17 44168 35856 99% 1182 0 1.044401 
0 83 7 2 14 32 83 14 215 46 54 0.324930 0 0 0 0 0 0 0 0 0 0 0 346.31 363580 38144 100% 35030 0 1.977661 
0 84 3 7 15 33 83 15 42 32 58 1.799455 0 0 0 0 0 0 0 0 0 0 0 515.79 455184 38472 100% 51515 0 2.582052 
0 85 14 6 3 27 88 13 79 48 92 0.330396 0 0 0 0 0 0 0 0 0 0 0 42.09 94576 36992 99% 5361 0 1.126429 
0 86 4 6 7 31 80 9 328 36 36 1.394058 0 0 0 0 0 0 0 0 0 0 0 390.02 384996 37912 100% 39665 0 1.457226 
0 87 7 11 12 24 90 6 60 32 49 0.722817 0 0 0 0 0 0 0 0 0 0 0 48.26 114824 36208 99% 5432 0 1.126284 
0 88 8 2 9 60 90 7 192 46 35 0.125999 0 0 0 0 0 0 0 0 0 0 0 179.35 260808 37040 99% 18792 0 1.256703 
0 89 14 11 10 37 65 6 350 39 73 0.048142 0 0 0 0 0 0 0 0 0 0 0 11.77 52172 35872 99% 1547 0 1.047777 
0 90 6 9 5 21 93 19 188 49 39 1.875009 0 0 0 0 0 0 0 0 0 0 0 1136.68 831220 39272 100% 112562 0 2.454670 
0 91 4 2 5 35 89 12 308 43 73 1.406495 0 0 0 0 0 0 0 0 0 0 0 156.35 209356 38136 99% 17000 0 1.542653 
